Date and Time:                Mon Apr 25 12:46:45.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.12
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	39039
388.15466	37914
388.16342	38287
388.17215	38487
388.18091	38475
388.18967	38817
388.19843	38407
388.20715	38560
388.21591	38624
388.22467	38547
388.2334	38525
388.24216	38667
388.25092	38427
388.25967	38730
388.2684	38573
388.27716	38523
388.28592	38346
388.29465	38564
388.30341	38660
388.31216	38569
388.32089	38461
388.32965	38389
388.33838	38391
388.34714	38490
388.3559	38115
388.36462	38022
388.37338	38078
388.38214	37649
388.39087	37702
388.39963	37939
388.40836	38103
388.41711	38036
388.42587	38133
388.4346	38297
388.44336	38056
388.45209	38021
388.46085	37810
388.46957	37966
388.47833	38002
388.48706	38240
388.49582	38001
388.50455	38240
388.51331	38161
388.52203	38249
388.53079	38277
388.53952	38357
388.54828	38053
388.55701	38115
388.56577	38174
388.57449	38203
388.58325	38191
388.59198	38420
388.60074	38270
388.60947	38339
388.61823	38215
388.62695	38182
388.63571	38124
388.64444	38004
388.65317	38223
388.66193	38569
388.67065	38333
388.67941	38008
388.68814	38226
388.69687	38470
388.70563	38140
388.71436	38066
388.72311	38363
388.73184	38405
388.74057	38163
388.74933	38205
388.75806	38397
388.76678	38189
388.77554	38084
388.78427	37844
388.793	38188
388.80176	38107
388.81049	38002
388.81921	38003
388.82797	37897
388.8367	37832
388.84543	37890
388.85416	37535
388.86292	37766
388.87164	37490
388.88037	37588
388.88913	37663
388.89786	37672
388.90659	37741
388.91531	37455
388.92407	37722
388.9328	37721
388.94153	37527
388.95026	37860
388.95898	37941
388.96774	37902
388.97647	37972
388.9852	37908
388.99393	37896
389.00266	37964
389.01141	37823
389.02014	38057
389.02887	38005
389.0376	37921
389.04633	37822
389.05505	37960
389.06378	37714
389.07254	37691
389.08127	37722
389.09	37843
389.09872	37835
389.10745	38115
389.11618	38339
389.12491	38320
389.13364	38210
389.14236	37981
389.15112	38051
389.15985	38296
