Date and Time:                Mon Apr 25 12:58:57.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	297
388.15466	311
388.16342	306
388.17215	305
388.18091	304
388.18967	296
388.19843	302
388.20715	304
388.21591	300
388.22467	302
388.2334	302
388.24216	305
388.25092	296
388.25967	305
388.2684	304
388.27716	301
388.28592	303
388.29465	302
388.30341	309
388.31216	304
388.32089	307
388.32965	302
388.33838	301
388.34714	301
388.3559	300
388.36462	300
388.37338	305
388.38214	302
388.39087	300
388.39963	302
388.40836	307
388.41711	305
388.42587	298
388.4346	303
388.44336	294
388.45209	300
388.46085	302
388.46957	303
388.47833	297
388.48706	305
388.49582	303
388.50455	313
388.51331	302
388.52203	300
388.53079	299
388.53952	308
388.54828	301
388.55701	305
388.56577	303
388.57449	303
388.58325	301
388.59198	294
388.60074	306
388.60947	307
388.61823	301
388.62695	301
388.63571	305
388.64444	300
388.65317	302
388.66193	304
388.67065	308
388.67941	301
388.68814	306
388.69687	303
388.70563	301
388.71436	308
388.72311	301
388.73184	303
388.74057	305
388.74933	306
388.75806	300
388.76678	300
388.77554	303
388.78427	307
388.793	301
388.80176	300
388.81049	309
388.81921	294
388.82797	309
388.8367	300
388.84543	308
388.85416	307
388.86292	296
388.87164	301
388.88037	302
388.88913	299
388.89786	305
388.90659	298
388.91531	301
388.92407	305
388.9328	303
388.94153	301
388.95026	304
388.95898	308
388.96774	298
388.97647	309
388.9852	305
388.99393	302
389.00266	302
389.01141	304
389.02014	302
389.02887	301
389.0376	304
389.04633	304
389.05505	298
389.06378	301
389.07254	298
389.08127	301
389.09	301
389.09872	301
389.10745	302
389.11618	296
389.12491	302
389.13364	309
389.14236	307
389.15112	300
389.15985	300
389.16858	299
389.17731	300
389.18604	308
389.19476	303
389.20349	305
389.21222	308
389.22095	301
389.22968	308
389.2384	310
389.24713	297
389.25586	302
389.26459	304
389.27332	301
389.28204	305
389.29077	302
389.2995	302
389.30823	301
