Date and Time:                Mon Apr 25 13:34:02.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         60
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	448
388.15466	444
388.16342	430
388.17215	441
388.18091	436
388.18967	442
388.19843	433
388.20715	440
388.21591	433
388.22467	439
388.2334	468
388.24216	450
388.25092	433
388.25967	434
388.2684	432
388.27716	428
388.28592	440
388.29465	426
388.30341	450
388.31216	432
388.32089	435
388.32965	434
388.33838	440
388.34714	431
388.3559	426
388.36462	439
388.37338	424
388.38214	427
388.39087	422
388.39963	413
388.40836	419
388.41711	428
388.42587	427
388.4346	423
388.44336	431
388.45209	440
388.46085	425
388.46957	428
388.47833	432
388.48706	440
388.49582	419
388.50455	432
388.51331	430
388.52203	432
388.53079	438
388.53952	429
388.54828	426
388.55701	424
388.56577	441
388.57449	418
388.58325	424
388.59198	417
388.60074	432
388.60947	427
388.61823	433
388.62695	434
388.63571	429
388.64444	445
388.65317	426
388.66193	424
388.67065	432
388.67941	422
388.68814	440
388.69687	416
388.70563	427
388.71436	419
388.72311	425
388.73184	428
388.74057	443
388.74933	432
388.75806	426
388.76678	434
388.77554	438
388.78427	424
388.793	425
388.80176	426
388.81049	437
388.81921	411
388.82797	428
388.8367	428
388.84543	412
388.85416	434
388.86292	416
388.87164	418
388.88037	424
388.88913	425
388.89786	418
388.90659	423
388.91531	418
388.92407	423
388.9328	416
388.94153	420
388.95026	427
388.95898	426
388.96774	416
388.97647	416
388.9852	431
388.99393	421
389.00266	410
389.01141	416
389.02014	410
389.02887	417
389.0376	409
389.04633	420
389.05505	408
389.06378	416
389.07254	414
389.08127	421
389.09	427
389.09872	433
389.10745	411
389.11618	411
389.12491	417
389.13364	405
389.14236	424
389.15112	427
389.15985	402
389.16858	419
389.17731	413
389.18604	420
389.19476	407
389.20349	414
389.21222	400
389.22095	410
389.22968	411
389.2384	425
389.24713	414
389.25586	412
389.26459	412
389.27332	420
389.28204	420
389.29077	451
389.2995	407
389.30823	408
