Date and Time:                Mon Apr 25 12:58:25.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.12
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	298
388.15466	294
388.16342	300
388.17215	297
388.18091	304
388.18967	294
388.19843	297
388.20715	300
388.21591	308
388.22467	301
388.2334	299
388.24216	300
388.25092	303
388.25967	300
388.2684	306
388.27716	300
388.28592	299
388.29465	303
388.30341	295
388.31216	303
388.32089	302
388.32965	302
388.33838	295
388.34714	300
388.3559	301
388.36462	303
388.37338	294
388.38214	302
388.39087	307
388.39963	300
388.40836	303
388.41711	303
388.42587	303
388.4346	303
388.44336	303
388.45209	301
388.46085	298
388.46957	299
388.47833	306
388.48706	298
388.49582	300
388.50455	302
388.51331	298
388.52203	304
388.53079	293
388.53952	297
388.54828	300
388.55701	297
388.56577	299
388.57449	302
388.58325	300
388.59198	299
388.60074	301
388.60947	300
388.61823	301
388.62695	304
388.63571	298
388.64444	300
388.65317	304
388.66193	304
388.67065	306
388.67941	298
388.68814	300
388.69687	299
388.70563	307
388.71436	299
388.72311	300
388.73184	304
388.74057	300
388.74933	298
388.75806	305
388.76678	304
388.77554	301
388.78427	300
388.793	303
388.80176	297
388.81049	298
388.81921	302
388.82797	296
388.8367	301
388.84543	298
388.85416	299
388.86292	301
388.87164	301
388.88037	304
388.88913	296
388.89786	304
388.90659	300
388.91531	297
388.92407	304
388.9328	298
388.94153	296
388.95026	299
388.95898	294
388.96774	304
388.97647	306
388.9852	304
388.99393	299
389.00266	298
389.01141	311
389.02014	301
389.02887	298
389.0376	299
389.04633	298
389.05505	302
389.06378	296
389.07254	300
389.08127	307
389.09	303
389.09872	298
389.10745	302
389.11618	291
389.12491	302
389.13364	298
389.14236	302
389.15112	298
389.15985	299
389.16858	297
389.17731	298
389.18604	305
389.19476	301
389.20349	293
389.21222	301
389.22095	299
389.22968	297
389.2384	300
389.24713	302
389.25586	294
389.26459	304
389.27332	297
389.28204	296
389.29077	300
389.2995	303
389.30823	303
