Date and Time:                Mon Apr 25 12:43:54.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.8
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	301
388.15466	303
388.16342	306
388.17215	306
388.18091	303
388.18967	301
388.19843	303
388.20715	302
388.21591	305
388.22467	305
388.2334	299
388.24216	309
388.25092	306
388.25967	302
388.2684	296
388.27716	304
388.28592	303
388.29465	305
388.30341	310
388.31216	303
388.32089	300
388.32965	299
388.33838	306
388.34714	303
388.3559	311
388.36462	306
388.37338	302
388.38214	307
388.39087	299
388.39963	302
388.40836	303
388.41711	300
388.42587	303
388.4346	306
388.44336	305
388.45209	309
388.46085	304
388.46957	299
388.47833	302
388.48706	303
388.49582	306
388.50455	299
388.51331	306
388.52203	310
388.53079	303
388.53952	305
388.54828	306
388.55701	310
388.56577	308
388.57449	306
388.58325	311
388.59198	298
388.60074	308
388.60947	303
388.61823	302
388.62695	308
388.63571	305
388.64444	302
388.65317	304
388.66193	305
388.67065	310
388.67941	304
388.68814	307
388.69687	303
388.70563	304
388.71436	306
388.72311	305
388.73184	304
388.74057	306
388.74933	302
388.75806	307
388.76678	301
388.77554	300
388.78427	308
388.793	304
388.80176	304
388.81049	299
388.81921	306
388.82797	308
388.8367	304
388.84543	305
388.85416	301
388.86292	302
388.87164	305
388.88037	309
388.88913	305
388.89786	305
388.90659	304
388.91531	301
388.92407	303
388.9328	306
388.94153	304
388.95026	308
388.95898	308
388.96774	303
388.97647	307
388.9852	310
388.99393	297
389.00266	303
389.01141	299
389.02014	303
389.02887	297
389.0376	303
389.04633	305
389.05505	300
389.06378	304
389.07254	310
389.08127	302
389.09	304
389.09872	303
389.10745	308
389.11618	300
389.12491	303
389.13364	303
389.14236	302
389.15112	309
389.15985	311
389.16858	305
389.17731	303
389.18604	305
389.19476	307
389.20349	303
389.21222	303
389.22095	311
389.22968	305
389.2384	308
389.24713	299
389.25586	300
389.26459	304
389.27332	306
389.28204	305
389.29077	303
389.2995	310
389.30823	304
