Date and Time:                Mon Apr 25 13:29:00.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         60
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	486
388.15466	462
388.16342	458
388.17215	464
388.18091	461
388.18967	456
388.19843	456
388.20715	461
388.21591	462
388.22467	451
388.2334	467
388.24216	475
388.25092	458
388.25967	458
388.2684	455
388.27716	456
388.28592	452
388.29465	457
388.30341	470
388.31216	457
388.32089	451
388.32965	456
388.33838	469
388.34714	464
388.3559	452
388.36462	459
388.37338	452
388.38214	453
388.39087	447
388.39963	451
388.40836	442
388.41711	448
388.42587	448
388.4346	461
388.44336	456
388.45209	475
388.46085	501
388.46957	705
388.47833	514
388.48706	469
388.49582	448
388.50455	452
388.51331	451
388.52203	445
388.53079	460
388.53952	452
388.54828	461
388.55701	447
388.56577	465
388.57449	447
388.58325	445
388.59198	456
388.60074	449
388.60947	455
388.61823	455
388.62695	451
388.63571	452
388.64444	461
388.65317	456
388.66193	451
388.67065	457
388.67941	446
388.68814	470
388.69687	440
388.70563	454
388.71436	450
388.72311	445
388.73184	445
388.74057	470
388.74933	456
388.75806	450
388.76678	449
388.77554	460
388.78427	439
388.793	460
388.80176	456
388.81049	456
388.81921	447
388.82797	446
388.8367	452
388.84543	443
388.85416	443
388.86292	442
388.87164	454
388.88037	444
388.88913	450
388.89786	445
388.90659	451
388.91531	448
388.92407	444
388.9328	442
388.94153	437
388.95026	444
388.95898	445
388.96774	443
388.97647	446
388.9852	458
388.99393	445
389.00266	442
389.01141	442
389.02014	444
389.02887	441
389.0376	446
389.04633	447
389.05505	441
389.06378	434
389.07254	438
389.08127	445
389.09	450
389.09872	457
389.10745	435
389.11618	443
389.12491	436
389.13364	433
389.14236	446
389.15112	440
389.15985	438
389.16858	453
389.17731	441
389.18604	445
389.19476	427
389.20349	436
389.21222	433
389.22095	432
389.22968	439
389.2384	456
389.24713	441
389.25586	432
389.26459	441
389.27332	453
389.28204	444
389.29077	435
389.2995	433
389.30823	440
