Date and Time:                Mon Apr 25 12:56:54.000 2022
Software Version:             4.31.30023.0
Temperature (C):              -40
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.12
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 14.51
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             High Capacity
Serial Number:                23634
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR500i:
Serial Number:                
Wavelength (nm):              397
Grating Groove Density (l/mm):2400
Grating Blaze:                BH
Output Flipper Port:          Direct
Accessory Output Port 1:      Off
Accessory Output Port 2:      Off
Accessory Output Port 3:      Off
Accessory Input Port:         On



388.1459	39114
388.15466	37964
388.16342	38362
388.17215	38592
388.18091	38506
388.18967	38846
388.19843	38500
388.20715	38570
388.21591	38608
388.22467	38600
388.2334	38731
388.24216	38815
388.25092	38589
388.25967	38696
388.2684	38593
388.27716	38597
388.28592	38429
388.29465	38621
388.30341	38730
388.31216	38670
388.32089	38520
388.32965	38496
388.33838	38482
388.34714	38538
388.3559	38176
388.36462	38094
388.37338	38204
388.38214	37745
388.39087	37751
388.39963	37946
388.40836	38093
388.41711	38124
388.42587	38209
388.4346	38422
388.44336	38118
388.45209	38036
388.46085	37871
388.46957	37978
388.47833	38030
388.48706	38310
388.49582	38066
388.50455	38308
388.51331	38220
388.52203	38326
388.53079	38366
388.53952	38434
388.54828	38131
388.55701	38093
388.56577	38213
388.57449	38287
388.58325	38240
388.59198	38423
388.60074	38297
388.60947	38361
388.61823	38262
388.62695	38253
388.63571	38186
388.64444	38042
388.65317	38266
388.66193	38610
388.67065	38423
388.67941	38160
388.68814	38299
388.69687	38514
388.70563	38215
388.71436	38155
388.72311	38374
388.73184	38462
388.74057	38134
388.74933	38255
388.75806	38504
388.76678	38277
388.77554	38117
388.78427	37897
388.793	38241
388.80176	38152
388.81049	38039
388.81921	38025
388.82797	37973
388.8367	37885
388.84543	37849
388.85416	37533
388.86292	37784
388.87164	37513
388.88037	37607
388.88913	37739
388.89786	37747
388.90659	37828
388.91531	37576
388.92407	37811
388.9328	37850
388.94153	37574
388.95026	37935
388.95898	38015
388.96774	37927
388.97647	37944
388.9852	38002
388.99393	38001
389.00266	38054
389.01141	37883
389.02014	38114
389.02887	38040
389.0376	38003
389.04633	37938
389.05505	38045
389.06378	37726
389.07254	37720
389.08127	37839
389.09	37961
389.09872	37875
389.10745	38173
389.11618	38459
389.12491	38356
389.13364	38251
389.14236	38051
389.15112	38129
389.15985	38391
